intended_target_name_hg38	targeting_chr_hg38	targeting_start_hg38	targeting_end_hg38	intended_target_name_hg19	targeting_chr_hg19	targeting_start_hg19	targeting_end_hg19	element_gene_pair_identifier_hg38	element_gene_pair_identifier_hg19	gene_symbol	gene_id	cell_type	log_2_FC_effect_size	pct_change_effect_size	sceptre_p_value	sceptre_adj_p_value	significant	distance_to_gencode_gene_TSS	distance_to_abc_canonical_TSS	chrTSS_hg38	startTSS_hg38	endTSS_hg38	element_location	gencode_promoter_overlap	abc_tss_overlap	gencode_protein_coding_gene_body_overlap	DistalElement_Gene	DistalPromoter_Gene	selfPromoter	Positive_Control_DistalElement_Gene	Positive_Control_selfPromoter	Random_DistalElement_Gene	power_at_effect_size_2	power_at_effect_size_3	power_at_effect_size_5	power_at_effect_size_10	power_at_effect_size_15	power_at_effect_size_20	power_at_effect_size_25	power_at_effect_size_50	intended_positive_control_distal_element_target_gene	intended_positive_control_target_gene	design_file_target_name	design_file_type	guide_ids
chr12:6938037-6938338	chr12	6938037	6938338	chr12:7047200-7047501	chr12	7047200	7047501	C12orf57|chr12:6938037-6938338	C12orf57|chr12:7047200-7047501	C12orf57	ENSG00000111678	WTC11	-0.04714809353332147	-3.215232836441262	6.331179186929521e-4	0.0229951226380523	TRUE	4791	5628.5	chr12	6942978	6942979	distal	NA	NA	ATN1	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	0.16	0.19	0.45	0.79	1	1	1	1	NA	NA	chr12:7047200-7047501	enh	WTC11_Random_Screen_Crop_5421,WTC11_Random_Screen_Crop_5422,WTC11_Random_Screen_Crop_5423,WTC11_Random_Screen_Crop_5424,WTC11_Random_Screen_Crop_5425,WTC11_Random_Screen_Crop_5426,WTC11_Random_Screen_Crop_5427,WTC11_Random_Screen_Crop_5428,WTC11_Random_Screen_Crop_5429,WTC11_Random_Screen_Crop_5430,WTC11_Random_Screen_Crop_5431,WTC11_Random_Screen_Crop_5432,WTC11_Random_Screen_Crop_5433,WTC11_Random_Screen_Crop_5434,WTC11_Random_Screen_Crop_5435
chr12:6938037-6938338	chr12	6938037	6938338	chr12:7047200-7047501	chr12	7047200	7047501	EMG1|chr12:6938037-6938338	EMG1|chr12:7047200-7047501	EMG1	ENSG00000126749	WTC11	0.004439947933338535	0.308227787177961	0.96	0.9948722135007848	FALSE	32726	32592.5	chr12	6970893	6970894	distal	NA	NA	ATN1	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	0	0.02	0.03	0.08	0.14	0.3	0.54	1	NA	NA	chr12:7047200-7047501	enh	WTC11_Random_Screen_Crop_5421,WTC11_Random_Screen_Crop_5422,WTC11_Random_Screen_Crop_5423,WTC11_Random_Screen_Crop_5424,WTC11_Random_Screen_Crop_5425,WTC11_Random_Screen_Crop_5426,WTC11_Random_Screen_Crop_5427,WTC11_Random_Screen_Crop_5428,WTC11_Random_Screen_Crop_5429,WTC11_Random_Screen_Crop_5430,WTC11_Random_Screen_Crop_5431,WTC11_Random_Screen_Crop_5432,WTC11_Random_Screen_Crop_5433,WTC11_Random_Screen_Crop_5434,WTC11_Random_Screen_Crop_5435
chr12:6938037-6938338	chr12	6938037	6938338	chr12:7047200-7047501	chr12	7047200	7047501	ENO2|chr12:6938037-6938338	ENO2|chr12:7047200-7047501	ENO2	ENSG00000111674	WTC11	0.017551280277700993	1.2239922604977411	0.52	0.9057975622681506	FALSE	24441	23738.5	chr12	6913745	6913746	distal	NA	NA	ATN1	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	0.1	0.15	0.19	0.73	0.95	1	1	1	NA	NA	chr12:7047200-7047501	enh	WTC11_Random_Screen_Crop_5421,WTC11_Random_Screen_Crop_5422,WTC11_Random_Screen_Crop_5423,WTC11_Random_Screen_Crop_5424,WTC11_Random_Screen_Crop_5425,WTC11_Random_Screen_Crop_5426,WTC11_Random_Screen_Crop_5427,WTC11_Random_Screen_Crop_5428,WTC11_Random_Screen_Crop_5429,WTC11_Random_Screen_Crop_5430,WTC11_Random_Screen_Crop_5431,WTC11_Random_Screen_Crop_5432,WTC11_Random_Screen_Crop_5433,WTC11_Random_Screen_Crop_5434,WTC11_Random_Screen_Crop_5435
chr12:6938037-6938338	chr12	6938037	6938338	chr12:7047200-7047501	chr12	7047200	7047501	LPCAT3|chr12:6938037-6938338	LPCAT3|chr12:7047200-7047501	LPCAT3	ENSG00000111684	WTC11	0.04895571975416648	3.451582891913739	0.124	0.6547598393574298	FALSE	78431	80350.5	chr12	7018509	7018510	distal	NA	NA	ATN1	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	0.11	0.15	0.19	0.6	0.94	1	1	1	NA	NA	chr12:7047200-7047501	enh	WTC11_Random_Screen_Crop_5421,WTC11_Random_Screen_Crop_5422,WTC11_Random_Screen_Crop_5423,WTC11_Random_Screen_Crop_5424,WTC11_Random_Screen_Crop_5425,WTC11_Random_Screen_Crop_5426,WTC11_Random_Screen_Crop_5427,WTC11_Random_Screen_Crop_5428,WTC11_Random_Screen_Crop_5429,WTC11_Random_Screen_Crop_5430,WTC11_Random_Screen_Crop_5431,WTC11_Random_Screen_Crop_5432,WTC11_Random_Screen_Crop_5433,WTC11_Random_Screen_Crop_5434,WTC11_Random_Screen_Crop_5435
chr12:6938037-6938338	chr12	6938037	6938338	chr12:7047200-7047501	chr12	7047200	7047501	NANOG|chr12:6938037-6938338	NANOG|chr12:7047200-7047501	NANOG	ENSG00000111704	WTC11	0.02381602362237641	1.664501969982645	0.732	0.9611569328565752	FALSE	893040	851207.5	chr12	7787794	7787795	distal	NA	NA	ATN1	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	0.05	0.06	0.11	0.32	0.75	0.96	1	1	NA	NA	chr12:7047200-7047501	enh	WTC11_Random_Screen_Crop_5421,WTC11_Random_Screen_Crop_5422,WTC11_Random_Screen_Crop_5423,WTC11_Random_Screen_Crop_5424,WTC11_Random_Screen_Crop_5425,WTC11_Random_Screen_Crop_5426,WTC11_Random_Screen_Crop_5427,WTC11_Random_Screen_Crop_5428,WTC11_Random_Screen_Crop_5429,WTC11_Random_Screen_Crop_5430,WTC11_Random_Screen_Crop_5431,WTC11_Random_Screen_Crop_5432,WTC11_Random_Screen_Crop_5433,WTC11_Random_Screen_Crop_5434,WTC11_Random_Screen_Crop_5435
chr12:6938037-6938338	chr12	6938037	6938338	chr12:7047200-7047501	chr12	7047200	7047501	PHB2|chr12:6938037-6938338	PHB2|chr12:7047200-7047501	PHB2	ENSG00000215021	WTC11	0.018108928417905054	1.263126159345362	0.028	0.3771967213114754	FALSE	32566	32565.5	chr12	6970824	6970825	distal	NA	NA	ATN1	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	0.22	0.26	0.38	0.8	0.99	1	1	1	NA	NA	chr12:7047200-7047501	enh	WTC11_Random_Screen_Crop_5421,WTC11_Random_Screen_Crop_5422,WTC11_Random_Screen_Crop_5423,WTC11_Random_Screen_Crop_5424,WTC11_Random_Screen_Crop_5425,WTC11_Random_Screen_Crop_5426,WTC11_Random_Screen_Crop_5427,WTC11_Random_Screen_Crop_5428,WTC11_Random_Screen_Crop_5429,WTC11_Random_Screen_Crop_5430,WTC11_Random_Screen_Crop_5431,WTC11_Random_Screen_Crop_5432,WTC11_Random_Screen_Crop_5433,WTC11_Random_Screen_Crop_5434,WTC11_Random_Screen_Crop_5435
chr12:6938037-6938338	chr12	6938037	6938338	chr12:7047200-7047501	chr12	7047200	7047501	RIMKLB|chr12:6938037-6938338	RIMKLB|chr12:7047200-7047501	RIMKLB	ENSG00000166532	WTC11	0.05905675820154515	4.178441386290776	0.416	0.8720612244897958	FALSE	1786846	1761596.5	chr12	8681600	8681601	distal	NA	NA	ATN1	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	0.01	0.04	0.06	0.25	0.62	0.75	0.96	1	NA	NA	chr12:7047200-7047501	enh	WTC11_Random_Screen_Crop_5421,WTC11_Random_Screen_Crop_5422,WTC11_Random_Screen_Crop_5423,WTC11_Random_Screen_Crop_5424,WTC11_Random_Screen_Crop_5425,WTC11_Random_Screen_Crop_5426,WTC11_Random_Screen_Crop_5427,WTC11_Random_Screen_Crop_5428,WTC11_Random_Screen_Crop_5429,WTC11_Random_Screen_Crop_5430,WTC11_Random_Screen_Crop_5431,WTC11_Random_Screen_Crop_5432,WTC11_Random_Screen_Crop_5433,WTC11_Random_Screen_Crop_5434,WTC11_Random_Screen_Crop_5435
chr12:6938037-6938338	chr12	6938037	6938338	chr12:7047200-7047501	chr12	7047200	7047501	SLC2A3|chr12:6938037-6938338	SLC2A3|chr12:7047200-7047501	SLC2A3	ENSG00000059804	WTC11	0.05578869085675985	3.9427180854861845	0.00236053970118666	0.07354591467109543	TRUE	1041433	998108.5	chr12	7936274	7936275	distal	NA	NA	ATN1	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	0.1	0.16	0.28	0.69	0.96	1	1	1	NA	NA	chr12:7047200-7047501	enh	WTC11_Random_Screen_Crop_5421,WTC11_Random_Screen_Crop_5422,WTC11_Random_Screen_Crop_5423,WTC11_Random_Screen_Crop_5424,WTC11_Random_Screen_Crop_5425,WTC11_Random_Screen_Crop_5426,WTC11_Random_Screen_Crop_5427,WTC11_Random_Screen_Crop_5428,WTC11_Random_Screen_Crop_5429,WTC11_Random_Screen_Crop_5430,WTC11_Random_Screen_Crop_5431,WTC11_Random_Screen_Crop_5432,WTC11_Random_Screen_Crop_5433,WTC11_Random_Screen_Crop_5434,WTC11_Random_Screen_Crop_5435
chr12:6938037-6938338	chr12	6938037	6938338	chr12:7047200-7047501	chr12	7047200	7047501	SPSB2|chr12:6938037-6938338	SPSB2|chr12:7047200-7047501	SPSB2	ENSG00000111671	WTC11	-0.09069935426699167	-6.093257917777595	0.032	0.3902931354359926	FALSE	48828	64830.5	chr12	6889357	6889358	distal	NA	NA	ATN1	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	0.09	0.08	0.18	0.44	0.84	0.98	1	1	NA	NA	chr12:7047200-7047501	enh	WTC11_Random_Screen_Crop_5421,WTC11_Random_Screen_Crop_5422,WTC11_Random_Screen_Crop_5423,WTC11_Random_Screen_Crop_5424,WTC11_Random_Screen_Crop_5425,WTC11_Random_Screen_Crop_5426,WTC11_Random_Screen_Crop_5427,WTC11_Random_Screen_Crop_5428,WTC11_Random_Screen_Crop_5429,WTC11_Random_Screen_Crop_5430,WTC11_Random_Screen_Crop_5431,WTC11_Random_Screen_Crop_5432,WTC11_Random_Screen_Crop_5433,WTC11_Random_Screen_Crop_5434,WTC11_Random_Screen_Crop_5435
chr12:6938037-6938338	chr12	6938037	6938338	chr12:7047200-7047501	chr12	7047200	7047501	TPI1|chr12:6938037-6938338	TPI1|chr12:7047200-7047501	TPI1	ENSG00000111669	WTC11	0.011068663183173056	0.770171951430942	0.124	0.6547598393574298	FALSE	71067	70659.5	chr12	6867119	6867120	distal	NA	NA	ATN1	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	0.17	0.18	0.34	0.78	1	1	1	1	NA	NA	chr12:7047200-7047501	enh	WTC11_Random_Screen_Crop_5421,WTC11_Random_Screen_Crop_5422,WTC11_Random_Screen_Crop_5423,WTC11_Random_Screen_Crop_5424,WTC11_Random_Screen_Crop_5425,WTC11_Random_Screen_Crop_5426,WTC11_Random_Screen_Crop_5427,WTC11_Random_Screen_Crop_5428,WTC11_Random_Screen_Crop_5429,WTC11_Random_Screen_Crop_5430,WTC11_Random_Screen_Crop_5431,WTC11_Random_Screen_Crop_5432,WTC11_Random_Screen_Crop_5433,WTC11_Random_Screen_Crop_5434,WTC11_Random_Screen_Crop_5435
chr12:6944591-6944892	chr12	6944591	6944892	chr12:7053754-7054055	chr12	7053754	7054055	C12orf57|chr12:6944591-6944892	C12orf57|chr12:7053754-7054055	C12orf57	ENSG00000111678	WTC11	-0.7144459112423688	-39.05608488203627	9.999999999999999e-251	3.867058823529411e-248	TRUE	1763	925.5	chr12	6942978	6942979	distal	NA	NA	C12orf57	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	0.15	0.24	0.32	0.78	0.99	1	1	1	NA	NA	chr12:7053754-7054055	enh	WTC11_Random_Screen_Crop_5436,WTC11_Random_Screen_Crop_5437,WTC11_Random_Screen_Crop_5438,WTC11_Random_Screen_Crop_5439,WTC11_Random_Screen_Crop_5440,WTC11_Random_Screen_Crop_5441,WTC11_Random_Screen_Crop_5442,WTC11_Random_Screen_Crop_5443,WTC11_Random_Screen_Crop_5444,WTC11_Random_Screen_Crop_5445,WTC11_Random_Screen_Crop_5446,WTC11_Random_Screen_Crop_5447,WTC11_Random_Screen_Crop_5448,WTC11_Random_Screen_Crop_5449,WTC11_Random_Screen_Crop_5450
chr12:6944591-6944892	chr12	6944591	6944892	chr12:7053754-7054055	chr12	7053754	7054055	EMG1|chr12:6944591-6944892	EMG1|chr12:7053754-7054055	EMG1	ENSG00000126749	WTC11	0.10231329436551884	7.349337994618499	0.444	0.8802340168878167	FALSE	26172	26038.5	chr12	6970893	6970894	distal	NA	NA	C12orf57	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	0.02	0.01	0.02	0.06	0.09	0.25	0.51	1	NA	NA	chr12:7053754-7054055	enh	WTC11_Random_Screen_Crop_5436,WTC11_Random_Screen_Crop_5437,WTC11_Random_Screen_Crop_5438,WTC11_Random_Screen_Crop_5439,WTC11_Random_Screen_Crop_5440,WTC11_Random_Screen_Crop_5441,WTC11_Random_Screen_Crop_5442,WTC11_Random_Screen_Crop_5443,WTC11_Random_Screen_Crop_5444,WTC11_Random_Screen_Crop_5445,WTC11_Random_Screen_Crop_5446,WTC11_Random_Screen_Crop_5447,WTC11_Random_Screen_Crop_5448,WTC11_Random_Screen_Crop_5449,WTC11_Random_Screen_Crop_5450
chr12:6944591-6944892	chr12	6944591	6944892	chr12:7053754-7054055	chr12	7053754	7054055	ENO2|chr12:6944591-6944892	ENO2|chr12:7053754-7054055	ENO2	ENSG00000111674	WTC11	-0.03258083577969549	-2.233022023062758	0.056	0.4856781002638523	FALSE	30995	30292.5	chr12	6913745	6913746	distal	NA	NA	C12orf57	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	0.12	0.12	0.22	0.63	0.94	1	1	1	NA	NA	chr12:7053754-7054055	enh	WTC11_Random_Screen_Crop_5436,WTC11_Random_Screen_Crop_5437,WTC11_Random_Screen_Crop_5438,WTC11_Random_Screen_Crop_5439,WTC11_Random_Screen_Crop_5440,WTC11_Random_Screen_Crop_5441,WTC11_Random_Screen_Crop_5442,WTC11_Random_Screen_Crop_5443,WTC11_Random_Screen_Crop_5444,WTC11_Random_Screen_Crop_5445,WTC11_Random_Screen_Crop_5446,WTC11_Random_Screen_Crop_5447,WTC11_Random_Screen_Crop_5448,WTC11_Random_Screen_Crop_5449,WTC11_Random_Screen_Crop_5450
chr12:6944591-6944892	chr12	6944591	6944892	chr12:7053754-7054055	chr12	7053754	7054055	LPCAT3|chr12:6944591-6944892	LPCAT3|chr12:7053754-7054055	LPCAT3	ENSG00000111684	WTC11	-0.04692973930678676	-3.200583196884499	0.136	0.6752749244712991	FALSE	71877	73796.5	chr12	7018509	7018510	distal	NA	NA	C12orf57	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	0.06	0.05	0.2	0.64	0.9	1	1	1	NA	NA	chr12:7053754-7054055	enh	WTC11_Random_Screen_Crop_5436,WTC11_Random_Screen_Crop_5437,WTC11_Random_Screen_Crop_5438,WTC11_Random_Screen_Crop_5439,WTC11_Random_Screen_Crop_5440,WTC11_Random_Screen_Crop_5441,WTC11_Random_Screen_Crop_5442,WTC11_Random_Screen_Crop_5443,WTC11_Random_Screen_Crop_5444,WTC11_Random_Screen_Crop_5445,WTC11_Random_Screen_Crop_5446,WTC11_Random_Screen_Crop_5447,WTC11_Random_Screen_Crop_5448,WTC11_Random_Screen_Crop_5449,WTC11_Random_Screen_Crop_5450
chr12:6944591-6944892	chr12	6944591	6944892	chr12:7053754-7054055	chr12	7053754	7054055	NANOG|chr12:6944591-6944892	NANOG|chr12:7053754-7054055	NANOG	ENSG00000111704	WTC11	0.025446815878486788	1.7794863693205039	0.684	0.9512621112756504	FALSE	886486	844653.5	chr12	7787794	7787795	distal	NA	NA	C12orf57	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	0.05	0.02	0.13	0.45	0.86	0.96	1	1	NA	NA	chr12:7053754-7054055	enh	WTC11_Random_Screen_Crop_5436,WTC11_Random_Screen_Crop_5437,WTC11_Random_Screen_Crop_5438,WTC11_Random_Screen_Crop_5439,WTC11_Random_Screen_Crop_5440,WTC11_Random_Screen_Crop_5441,WTC11_Random_Screen_Crop_5442,WTC11_Random_Screen_Crop_5443,WTC11_Random_Screen_Crop_5444,WTC11_Random_Screen_Crop_5445,WTC11_Random_Screen_Crop_5446,WTC11_Random_Screen_Crop_5447,WTC11_Random_Screen_Crop_5448,WTC11_Random_Screen_Crop_5449,WTC11_Random_Screen_Crop_5450
chr12:6944591-6944892	chr12	6944591	6944892	chr12:7053754-7054055	chr12	7053754	7054055	PHB2|chr12:6944591-6944892	PHB2|chr12:7053754-7054055	PHB2	ENSG00000215021	WTC11	-0.015513091716300711	-1.069525048984865	0.052	0.4708650137741046	FALSE	26012	26011.5	chr12	6970824	6970825	distal	NA	NA	C12orf57	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	0.16	0.23	0.39	0.83	0.99	1	1	1	NA	NA	chr12:7053754-7054055	enh	WTC11_Random_Screen_Crop_5436,WTC11_Random_Screen_Crop_5437,WTC11_Random_Screen_Crop_5438,WTC11_Random_Screen_Crop_5439,WTC11_Random_Screen_Crop_5440,WTC11_Random_Screen_Crop_5441,WTC11_Random_Screen_Crop_5442,WTC11_Random_Screen_Crop_5443,WTC11_Random_Screen_Crop_5444,WTC11_Random_Screen_Crop_5445,WTC11_Random_Screen_Crop_5446,WTC11_Random_Screen_Crop_5447,WTC11_Random_Screen_Crop_5448,WTC11_Random_Screen_Crop_5449,WTC11_Random_Screen_Crop_5450
chr12:6944591-6944892	chr12	6944591	6944892	chr12:7053754-7054055	chr12	7053754	7054055	RIMKLB|chr12:6944591-6944892	RIMKLB|chr12:7053754-7054055	RIMKLB	ENSG00000166532	WTC11	-0.02055999758815955	-1.415003804463277	0.772	0.9672779673871824	FALSE	1780292	1755042.5	chr12	8681600	8681601	distal	NA	NA	C12orf57	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	0.03	0.02	0.05	0.17	0.47	0.78	0.95	1	NA	NA	chr12:7053754-7054055	enh	WTC11_Random_Screen_Crop_5436,WTC11_Random_Screen_Crop_5437,WTC11_Random_Screen_Crop_5438,WTC11_Random_Screen_Crop_5439,WTC11_Random_Screen_Crop_5440,WTC11_Random_Screen_Crop_5441,WTC11_Random_Screen_Crop_5442,WTC11_Random_Screen_Crop_5443,WTC11_Random_Screen_Crop_5444,WTC11_Random_Screen_Crop_5445,WTC11_Random_Screen_Crop_5446,WTC11_Random_Screen_Crop_5447,WTC11_Random_Screen_Crop_5448,WTC11_Random_Screen_Crop_5449,WTC11_Random_Screen_Crop_5450
chr12:6944591-6944892	chr12	6944591	6944892	chr12:7053754-7054055	chr12	7053754	7054055	SLC2A3|chr12:6944591-6944892	SLC2A3|chr12:7053754-7054055	SLC2A3	ENSG00000059804	WTC11	0.030869853414015918	2.162791674769382	0.34	0.8387091932457788	FALSE	1034879	991554.5	chr12	7936274	7936275	distal	NA	NA	C12orf57	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	0.08	0.16	0.34	0.8	0.95	1	1	1	NA	NA	chr12:7053754-7054055	enh	WTC11_Random_Screen_Crop_5436,WTC11_Random_Screen_Crop_5437,WTC11_Random_Screen_Crop_5438,WTC11_Random_Screen_Crop_5439,WTC11_Random_Screen_Crop_5440,WTC11_Random_Screen_Crop_5441,WTC11_Random_Screen_Crop_5442,WTC11_Random_Screen_Crop_5443,WTC11_Random_Screen_Crop_5444,WTC11_Random_Screen_Crop_5445,WTC11_Random_Screen_Crop_5446,WTC11_Random_Screen_Crop_5447,WTC11_Random_Screen_Crop_5448,WTC11_Random_Screen_Crop_5449,WTC11_Random_Screen_Crop_5450
chr12:6944591-6944892	chr12	6944591	6944892	chr12:7053754-7054055	chr12	7053754	7054055	SPSB2|chr12:6944591-6944892	SPSB2|chr12:7053754-7054055	SPSB2	ENSG00000111671	WTC11	-0.05492572975701064	-3.7356001059066113	0.144	0.6874771241830065	FALSE	55382	71384.5	chr12	6889357	6889358	distal	NA	NA	C12orf57	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	0.03	0.07	0.13	0.47	0.79	0.97	1	1	NA	NA	chr12:7053754-7054055	enh	WTC11_Random_Screen_Crop_5436,WTC11_Random_Screen_Crop_5437,WTC11_Random_Screen_Crop_5438,WTC11_Random_Screen_Crop_5439,WTC11_Random_Screen_Crop_5440,WTC11_Random_Screen_Crop_5441,WTC11_Random_Screen_Crop_5442,WTC11_Random_Screen_Crop_5443,WTC11_Random_Screen_Crop_5444,WTC11_Random_Screen_Crop_5445,WTC11_Random_Screen_Crop_5446,WTC11_Random_Screen_Crop_5447,WTC11_Random_Screen_Crop_5448,WTC11_Random_Screen_Crop_5449,WTC11_Random_Screen_Crop_5450
chr12:6944591-6944892	chr12	6944591	6944892	chr12:7053754-7054055	chr12	7053754	7054055	TPI1|chr12:6944591-6944892	TPI1|chr12:7053754-7054055	TPI1	ENSG00000111669	WTC11	0.006273876134295061	0.43581889561632403	0.82	0.9771034982780497	FALSE	77621	77213.5	chr12	6867119	6867120	distal	NA	NA	C12orf57	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	0.15	0.17	0.33	0.72	0.98	1	1	1	NA	NA	chr12:7053754-7054055	enh	WTC11_Random_Screen_Crop_5436,WTC11_Random_Screen_Crop_5437,WTC11_Random_Screen_Crop_5438,WTC11_Random_Screen_Crop_5439,WTC11_Random_Screen_Crop_5440,WTC11_Random_Screen_Crop_5441,WTC11_Random_Screen_Crop_5442,WTC11_Random_Screen_Crop_5443,WTC11_Random_Screen_Crop_5444,WTC11_Random_Screen_Crop_5445,WTC11_Random_Screen_Crop_5446,WTC11_Random_Screen_Crop_5447,WTC11_Random_Screen_Crop_5448,WTC11_Random_Screen_Crop_5449,WTC11_Random_Screen_Crop_5450
chr12:6962060-6962361	chr12	6962060	6962361	chr12:7071223-7071524	chr12	7071223	7071524	C12orf57|chr12:6962060-6962361	C12orf57|chr12:7071223-7071524	C12orf57	ENSG00000111678	WTC11	-0.05680002403815364	-3.860581933226781	4.249962751788454e-5	0.00190062960069777	TRUE	19232	18394.5	chr12	6942978	6942979	distal	NA	NA	NA	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	0.17	0.18	0.36	0.84	0.97	1	1	1	NA	NA	chr12:7071223-7071524	enh	WTC11_Random_Screen_Crop_5451,WTC11_Random_Screen_Crop_5452,WTC11_Random_Screen_Crop_5453,WTC11_Random_Screen_Crop_5454,WTC11_Random_Screen_Crop_5455,WTC11_Random_Screen_Crop_5456,WTC11_Random_Screen_Crop_5457,WTC11_Random_Screen_Crop_5458,WTC11_Random_Screen_Crop_5459,WTC11_Random_Screen_Crop_5460,WTC11_Random_Screen_Crop_5461,WTC11_Random_Screen_Crop_5462,WTC11_Random_Screen_Crop_5463,WTC11_Random_Screen_Crop_5464,WTC11_Random_Screen_Crop_5465
chr12:6962060-6962361	chr12	6962060	6962361	chr12:7071223-7071524	chr12	7071223	7071524	EMG1|chr12:6962060-6962361	EMG1|chr12:7071223-7071524	EMG1	ENSG00000126749	WTC11	-0.20816897152351607	-13.436482545766705	0.164	0.716845744680851	FALSE	8703	8569.5	chr12	6970893	6970894	distal	NA	NA	NA	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	0	0	0	0.05	0.1	0.3	0.45	0.99	NA	NA	chr12:7071223-7071524	enh	WTC11_Random_Screen_Crop_5451,WTC11_Random_Screen_Crop_5452,WTC11_Random_Screen_Crop_5453,WTC11_Random_Screen_Crop_5454,WTC11_Random_Screen_Crop_5455,WTC11_Random_Screen_Crop_5456,WTC11_Random_Screen_Crop_5457,WTC11_Random_Screen_Crop_5458,WTC11_Random_Screen_Crop_5459,WTC11_Random_Screen_Crop_5460,WTC11_Random_Screen_Crop_5461,WTC11_Random_Screen_Crop_5462,WTC11_Random_Screen_Crop_5463,WTC11_Random_Screen_Crop_5464,WTC11_Random_Screen_Crop_5465
chr12:6962060-6962361	chr12	6962060	6962361	chr12:7071223-7071524	chr12	7071223	7071524	ENO2|chr12:6962060-6962361	ENO2|chr12:7071223-7071524	ENO2	ENSG00000111674	WTC11	0.0028845933156653814	0.20014479523109402	0.928	0.9902080831033924	FALSE	48464	47761.5	chr12	6913745	6913746	distal	NA	NA	NA	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	0.17	0.12	0.15	0.75	0.96	0.99	1	1	NA	NA	chr12:7071223-7071524	enh	WTC11_Random_Screen_Crop_5451,WTC11_Random_Screen_Crop_5452,WTC11_Random_Screen_Crop_5453,WTC11_Random_Screen_Crop_5454,WTC11_Random_Screen_Crop_5455,WTC11_Random_Screen_Crop_5456,WTC11_Random_Screen_Crop_5457,WTC11_Random_Screen_Crop_5458,WTC11_Random_Screen_Crop_5459,WTC11_Random_Screen_Crop_5460,WTC11_Random_Screen_Crop_5461,WTC11_Random_Screen_Crop_5462,WTC11_Random_Screen_Crop_5463,WTC11_Random_Screen_Crop_5464,WTC11_Random_Screen_Crop_5465
chr12:6962060-6962361	chr12	6962060	6962361	chr12:7071223-7071524	chr12	7071223	7071524	LPCAT3|chr12:6962060-6962361	LPCAT3|chr12:7071223-7071524	LPCAT3	ENSG00000111684	WTC11	0.035119098948477694	2.464140686630322	0.356	0.8458055655945066	FALSE	54408	56327.5	chr12	7018509	7018510	distal	NA	NA	NA	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	0.17	0.18	0.29	0.69	0.94	0.97	1	1	NA	NA	chr12:7071223-7071524	enh	WTC11_Random_Screen_Crop_5451,WTC11_Random_Screen_Crop_5452,WTC11_Random_Screen_Crop_5453,WTC11_Random_Screen_Crop_5454,WTC11_Random_Screen_Crop_5455,WTC11_Random_Screen_Crop_5456,WTC11_Random_Screen_Crop_5457,WTC11_Random_Screen_Crop_5458,WTC11_Random_Screen_Crop_5459,WTC11_Random_Screen_Crop_5460,WTC11_Random_Screen_Crop_5461,WTC11_Random_Screen_Crop_5462,WTC11_Random_Screen_Crop_5463,WTC11_Random_Screen_Crop_5464,WTC11_Random_Screen_Crop_5465
chr12:6962060-6962361	chr12	6962060	6962361	chr12:7071223-7071524	chr12	7071223	7071524	NANOG|chr12:6962060-6962361	NANOG|chr12:7071223-7071524	NANOG	ENSG00000111704	WTC11	0.0689925068354138	4.898387927919012	0.156	0.7014664842681259	FALSE	869017	827184.5	chr12	7787794	7787795	distal	NA	NA	NA	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	0.03	0.05	0.13	0.5	0.78	0.98	0.99	1	NA	NA	chr12:7071223-7071524	enh	WTC11_Random_Screen_Crop_5451,WTC11_Random_Screen_Crop_5452,WTC11_Random_Screen_Crop_5453,WTC11_Random_Screen_Crop_5454,WTC11_Random_Screen_Crop_5455,WTC11_Random_Screen_Crop_5456,WTC11_Random_Screen_Crop_5457,WTC11_Random_Screen_Crop_5458,WTC11_Random_Screen_Crop_5459,WTC11_Random_Screen_Crop_5460,WTC11_Random_Screen_Crop_5461,WTC11_Random_Screen_Crop_5462,WTC11_Random_Screen_Crop_5463,WTC11_Random_Screen_Crop_5464,WTC11_Random_Screen_Crop_5465
